date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:13	69/69	---MCZ	200	added ('OK')	text/plain	date:Fri,%2001%20Jun%202018%2010:45:12%20GMT	http://www.emanuelepapale.com/robots.txt		(from )
16:15:14	66602/66602	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Jun%202018%2009:55:41%20GMT	http://www.emanuelepapale.com/	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/index.html	(from )
16:15:18	2292758/2292758	---M-Z	200	added ('OK')	text/css	etag:%223ffa8-56c3e07c4d902%22	http://www.emanuelepapale.com/wp-content/cache/minify/ed721.css	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/wp-content/cache/minify/ed721.css	(from http://www.emanuelepapale.com/)
16:15:19	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2001%20Jun%202018%2010:45:14%20GMT	http://www.emanuelepapale.com/xmlrpc.php	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/xmlrpc.php	(from http://www.emanuelepapale.com/)
16:15:20	107242/107242	---M-Z	200	added ('OK')	application/x-javascript	etag:%229113-56c3de5e89055%22	http://www.emanuelepapale.com/wp-content/cache/minify/df983.js	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/wp-content/cache/minify/df983.js	(from http://www.emanuelepapale.com/)
16:15:21	1137/1137	---MC-	200	added ('OK')	application/rss+xml	etag:%2221189206065ae55c00e1207d3440bf2b%22	http://www.emanuelepapale.com/feed/	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/feed/index.html	(from http://www.emanuelepapale.com/)
16:15:21	5016/5016	---M-Z	200	added ('OK')	application/x-javascript	etag:%223ce-56c3de5eb18c6%22	http://www.emanuelepapale.com/wp-content/cache/minify/9f19a.js	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/wp-content/cache/minify/9f19a.js	(from http://www.emanuelepapale.com/)
16:15:22	1059/1059	---MC-	200	added ('OK')	application/rss+xml	etag:%221c00acbf6ea87a32fc49e174a78326bb%22	http://www.emanuelepapale.com/comments/feed/	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/comments/feed/index.html	(from http://www.emanuelepapale.com/)
16:15:24	274726/274726	---M-Z	200	added ('OK')	application/x-javascript	etag:%22fab3-56c3e07b87901%22	http://www.emanuelepapale.com/wp-content/cache/minify/9a9fc.js	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/wp-content/cache/minify/9a9fc.js	(from http://www.emanuelepapale.com/)
16:15:24	866/866	---M-Z	200	added ('OK')	text/xml	date:Fri,%2001%20Jun%202018%2010:45:21%20GMT	http://www.emanuelepapale.com/xmlrpc.php?rsd	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/xmlrpc0db0.php	(from http://www.emanuelepapale.com/)
16:15:24	55454/55454	---M-Z	200	added ('OK')	application/json	date:Fri,%2001%20Jun%202018%2010:45:22%20GMT	http://www.emanuelepapale.com/wp-json/	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/wp-json/index.html	(from http://www.emanuelepapale.com/)
16:15:25	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-4ed5052f81800-gzip%22	http://www.emanuelepapale.com/wp-includes/wlwmanifest.xml	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/wp-includes/wlwmanifest.xml	(from http://www.emanuelepapale.com/)
16:15:26	2218/2218	---M-Z	200	added ('OK')	application/json	date:Fri,%2001%20Jun%202018%2010:45:24%20GMT	http://www.emanuelepapale.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.emanuelepapale.com%2F	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/wp-json/oembed/1.0/embedc85f.json	(from http://www.emanuelepapale.com/)
16:15:28	2645/2645	---M-Z	200	added ('OK')	text/xml	date:Fri,%2001%20Jun%202018%2010:45:26%20GMT	http://www.emanuelepapale.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.emanuelepapale.com%2F&format=xml	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/wp-json/oembed/1.0/embed516d	(from http://www.emanuelepapale.com/)
16:15:28	2463/2463	---M--	200	added ('OK')	image/png	etag:%2299f-5607789bb929e%22	http://www.emanuelepapale.com/wp-content/uploads/2017/12/emanuele-papale-favicon.png	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/wp-content/uploads/2017/12/emanuele-papale-favicon.png	(from http://www.emanuelepapale.com/)
16:15:31	283/283	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20Jun%202018%2010:45:29%20GMT	http://emanuelepapale.com/wp-content/uploads/2017/12/hero-bg.jpg?id=223	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/emanuelepapale.com/wp-content/uploads/2017/12/hero-bg.bcf23.delayed	(from http://www.emanuelepapale.com/)
16:15:32	1462/1462	---M--	200	added ('OK')	image/png	etag:%225b6-560778a7336c5%22	http://www.emanuelepapale.com/wp-content/uploads/2017/04/logo-black-blu.png	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/wp-content/uploads/2017/04/logo-black-blu.png	(from http://www.emanuelepapale.com/)
16:15:33	35266/35266	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	https://www.google-analytics.com/analytics.js	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.google-analytics.com/analytics.js	(from http://www.emanuelepapale.com/)
16:15:35	383479/383479	---M-Z	200	added ('OK')	application/x-javascript	etag:%22190ca-56c3de5fdb672%22	http://www.emanuelepapale.com/wp-content/cache/minify/5e084.js	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/wp-content/cache/minify/5e084.js	(from http://www.emanuelepapale.com/)
16:15:37	48798/48798	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Jun%202018%2010:45:33%20GMT	http://www.emanuelepapale.com/who-am-i/	C:/xampp/htdocs/Personal%20Portfolio/Personal%20Profilio/www.emanuelepapale.com/who-am-i/index.html	(from http://www.emanuelepapale.com/)
